comment,toxic
"В очередной раз убеждаюсь, что двачеры редкостные говноеды и хуесосы. Ладно там гоблин скурвился, ватанскую дичь уже давно несёт, но блять евген один из немногих блоггеров за которым нет явных грешков и провалов. Но блять сосачерам неприятна что он за совок топит, вот в чём причина , бугурта здесь многих. ПРОКЛЯТЫЙ САВВОК АРРЯ ГРЯЗНОШТАННИКИ ПИДАРАСЫ АРРЯ. Какой же дегенерат стандартный двачер, ты даже не человек блять, ебаный биомусор, неспособный понять обзорчик с ютуба. Способен только бомбить с абсолютно непонятных вещей, который видишь только ты, будь то злые коммуняки или пидарахи. Весь тред скатили не в обсуждение его лучших работ и скандалов, в том что евген блять КОММУНЯКА уххх печёт. Действительно, придерживался бы современных взглядов креативной молодёжи и был бы популярен как светов или сисян. но стоит отдать должое, у сисяна тоже ролики годные Видимо евген действительно знает что делает, раз его деятельность так подрывает дегенератов с нулевой. Охуенно
",1.0
"Ну это не его уже проблема, если эта дорого то пешеходов там быть не должно, также как и машин на тротуаре.
",0.0
"Мне понравилось. Когда ждать продолжение?
",0.0
"если бы у них были документы на этот кусок земли, который они называют парковочные места кафе СуньХуйВРот то они были бы огорожены. А так это 99,99 муниципальная земля, которую каждый долбаеб собственник в силу своего полного долбоебизма абсолютного незнания законов почему то считает своей собственностью.
",0.0
"Есть улучшенный тариф для своих, там чутка дороже, но трафика поболя
",0.0
"И первый магазин из списка который следует посетить это спецодежда, там наверняка и выбор больше и цены не сильно кусачие",0.0
"NFSU2 крута, и вообще любимая моя часть, но с оценкой всё равно перебор.
",0.0
"Меня так умиляет, как в его паблике называют своих подписчков - чидакеры . Маленькие милые чидакеры.
",1.0
"та ну, хуйня это все про джентельменство . меня в свое время эти брачные игрища так сильно заебали, что я вообще перестал париться и начал себя вести так, как и обычно. без всех этих ужимок и образа славного парня . без зазрения совести перед девушками курил, харкался, матерился как сапожник, рассказывал охуитительные истории о том, как когда-то обосрался бухал ебал кого-то проснулся с обблеванной тян пересказывал пасты про говно и т.д. т.е вел себя как быдлан, как обычно я себя и веду, когда вокруг никого нет. и тогда девушки начали тянуться. после этого я сделал для себя вывод, что девушки вообще не воспринимают что ты им говоришь, что делаешь и т.д. они воспринимают лишь то, как ты все это говоришь и делаешь. когда я начал вести себя как обычно, я делал это, блять, уверенно, самовлюбленно, нагло и аки самец . может это будило в девушках какие-то там инстинкты и они думали что-то в стиле ну ничего что быдло, зато какой уверенный, ВАХ просто! или я хуй знает, но такое поведение позволило мне пользоваться определенной популярностью у девушек. вообще если покопаться во всей этой теме, образ отношений, любви, поведения во всех этих брачных игрищах, все это навязывается нам с рождения источниками массовой информации, через книги, фильмы, красивые любовные истории и т.д. веди себя как джентельмен, жди ту, которая встрепетнет твою душу и от которой твое сердце забьется чаще, а в животе будут летать бабочки, положи всю свою жизнь на счастье второй половинки, будь для нее горой, добытчиком, ебырем-террористом и вся эта прочая романтичная, сопливая хуета. и все это в корне не верно. реальная любовь и отношения, не имеют ничего общего с тем, что нам с рождения вбивают в голову. все эти высокие чувства - обычное желание ебаться. видишь человека - получаешь дозу гормона - кайфуешь. не видишь человека - нет дозы гормона - появляется ломка - ищешь способы увидеть человека. вот тебе описание любви. через какое-то время эти чувства угаснут так или иначе и если у вас кроме этих чуйств нихуя не было, то развод и девичья фамилия. настоящая любовь, это когда у вас есть тысячи причин быть вместе, помимо того, что у вас стойкое желание ебаться. даже когда желание ебаться уже прошло, вам все равно приятно находиться вместе. такое же навязывание светлой и романтишной любви , на моей памяти, вызывало не мало проблем у моих знакомых девушек. они втупую сидели и ждали принца на белом коне ГОДАМИ, ссылаясь на охуенные фразочки если твое, то ты не пропустишь , обещанного три года ждут и прочую ебанину. я и сам к некоторым пытался лезть как кандидат в парни, ухаживал, звал гулять, пытался побольше времени проводить с ними, но все упиралось в одну хуйню. а именно вот есть парень, он очень популярен, он вообще не мой уровень, у него целые армии из девушек желающих попрыгать на его куканчике, и вот она я вся такая красивая, посижу на попе смирно, нихуя не буду делать, он обязательно меня заметит, а пока что я буду отметать кучу нормальных вариантов отношений! ох бедная я несчастная, парня найти то себе не могу, 25 лет а все в девках хожу! . а все почему? а потому что им с детства вбивали, что ухаживать должны мальчики, подкатывать должны мальчики, а ты, вся такая красивая, должна сидеть и ждать пока к тебе подкатят и лишь отсеивать нормальных парней в ожидании его - ПРЫНЦА НА БЕЛОМ КОНЕ!!1 именно так любовь и работает, нахуй!!11! чето меня занесло и печет пиздец. все это джентельменство хуйня собачья. образ современной любви - та еще дичь. надеюсь через пару десятков поколений, весь этот романтизм и брачные игрища станут архаизмом и люди просто будут влюбляться и быть вместе, без всего этого социально-любовного шлака.
",0.0
"КАКИЕ ХОХЛЫ?! два урода. при чём ту вообще ХОХЛЫ! аноны, смотрите! я двух шлюх проплаченых поймал!
",1.0
"Это конечно твоё личное дело. Но я на всякий случай оставляю заметочку о тебе.
",0.0
"Честно сказать, никогда не понимала, как можно не знать, что подарить человеку, с которым уже в долгих отношениях или тем более тому, с которым живёшь. Ладно ещё в первый год не совсем понятно, что к чему, но потом-то - в чем проблема?
",0.0
"Даже когда в администрацию с окладом 100500 тыс.руб?
",0.0
"Потому что дрова надо зимой заготавливать на весь год
",0.0
"Это метод грубой силы. То есть нет расчётов, нет геологии, ничего нет. Всё дорого, дубово, не требует квалификации. То есть взяли и сделали. По хорошему конечно не нужно можно сэкономить , но это уже привлекать конструктора и делать геологию. Большинство просто не делают.
",0.0
"охлаждение выходит хорошее, а днем в жару она выключена )
",0.0
"Чаще всего кибербуллингом занимаются молодые люди и девушки в возрасте до 19 лет
",0.0
"Лабковский по ним плачет
",1.0
"Я не вижу большой оптимизации прошивок при обновлении моего RedMi 3S. Сейчас они уже отошли от этого. И с закрытием Андроида для сертфикации эта бизнес модель становится мало жизнеспособной.
",0.0
"Ещё бы дятлов - мотоциклистов кто бы обучал не шнырять между рядами, так как железная коробка поддаётся ремонту, а мясной мешок не очень.
",1.0
"На самом деле Кадавр изверг всё, что мог, ещё в 2013-м году. Ролики про Работу , Жизнь в деревне , про виртуальную реальность и первые выпуски очевидные вещи - это однозначная годнота. далее уже его можно не смотреть. стримы посидеть с друганами на лавке возле падъезда и попиздеть за жизнь. печально на самом деле. развития у Костика(или Петра Бекетова, олдфаги помнят его таким) не вышло. кем он был 5 лет назад, тем он и остался.
",0.0
"В приложении чат не работает. Только перешёл на yota, СМС не доходят до пчелайна, а со второй симки мудафона норм.
",0.0
"Или биту бы из под стойки достала
",1.0
"Длинный огурец пополам, на две вилки и в аквас. Трем анцикам и двум птерам на 15 минут. Иной раз даже корки не остаётся, кроме кусочка на вилке.
",0.0
65 А чего так мало? Вот у гражданина был рейтинг 90 за 3 дня до записи этого видео.,0.0
"Не существует никакого юношеского максимализма . За пределами русскоязычного пространства не знают такого термина максимализм . Знают, но там оно означает направление в искусстве, реакция на минимализм. Ничего связанного с психологией. Понятие максимализм в современном понимании, вероятно, возникло от названия партии максималистов (Союз социалистов-революционеров-максималистов), оформившейся в 1906 году, отметившейся рядом крупных терактов, в том числе покушение на Столыпина (взрыв на Аптекарском острове). В своё время максималистов хорошо зафорсили журналисты, так, что их название стало нарицательным.
",0.0
"тупое говно, тупого говна . Ты хотел сказать.
",1.0
"Когда брал хуавей мейт 20 про в подарок манагер сразу настойчиво посоветовал проверить - вскрыть, ссылаясь на такие случаи.
",0.0
"Не, ну брать кредит на телефон это надо обладать особым интеллектом, мне такой вариант кредита даж в голову бы не пришёл.. А я наоборот со своим кредитом удачно попала, переплата по нему 9к, а если б копила, успела бы как раз к скачку НДС и повышению стоимости на стоматологические услуги, считай потеряла меньше чем приобрела.
",0.0
"Звонишь в полицию, говоришь адрес заведения, хули ты как пидорашка? И ничего не будет.
",1.0
"Там гайка была под ключ на 17 и затягивалась с такой силой, что контакт никогда не пропадал. Лично у меня не бывало таких проблем. Но теоретически, они могут возникнуть. Вот одна из схем, которые мне дал яндекс, четко видно, что сначала на стартер идет, а потом уже дальше.
",0.0
"Надо было напугать: Лучше дочь проститутка, чем сын охранник.
",1.0
"Мне не нравится Давыдыч, но куда хуже него звездаболы, типа тебя.
",1.0
"С одной стороны да, кушать хотят все, но надо ж ведь тоже понимать, что из-за обилия рекламы никто смотреть и не будет. С другой стороны изначально рок все ж отличался от попсы наличием осмысленного, хоть и не всегда понятного сходу текста.
",0.0
"В платных тоже очередь. Записались на среду, будем надеяться, что все ок.
",0.0
"Сейчас норм,всё высохло, 3
",0.0
"Из за таких мудаков как ты безлимиты и убрали(правда теперь снова ввели). Гори в аду.
",1.0
"там их не так дорого научат не доверять людям в интернете ?
",0.0
"Спасибо за инфу. Не знал о такой зависимости.
",0.0
"Там же апскейлится уровень противников, в локациях для более низких уровней, почти везде? Я спокойно проходил везде, не было слишком легко.
",0.0
"Подходит так как я сама такая же. Была бы я вся такая активная счастливая, тогда конечно бы не подходил. Было бы не справедливо и неудобно, если бы парень был нормальный , работал, имел кучу друзей и активную жизнь. Я была бы тогда на его фоне унылым говном без интересов, мотивации и неработающая не домохазяйка, залипающая у компа. А другой я не могу быть, такой характер ну или что-то пошло не так в воспитании родителями. Да и что было бы общего? Ему бы приходилось меня постоянно пинать и заставлять.
",0.0
"Там математика уровня 11 класса школы. Если респонденты рандомные, а не отобранные исходя из предыдущих исследований.
",0.0
"WMP разве запоминает последние проигранные? Media player classic - да, но за WMP (в W7) не замечал
",0.0
"это не фемки, это подстилки путина, внедренные дял позора движения
",1.0
"Ща я все поясню погодь, до дома доберусь, вискаря въебу и расскажу тебе что почём
",1.0
"Спасибо за информацию. Я-таки не должна Ростелекому денег за те услуги, которые они и не предоставили. (года три уже точно прошло)
",0.0
"Работаю в Перми инженером, оклад 22, на руки 32-35. Все верно А в выходные двойной оклад по закону, т.е. уже 40к на работе выходит. Ну и не забываем халтурку вечерком в гаражике, таксование, браконьерский вылов рыбы и прочее, реализация спизженных электродов, сверл и прочего с работы. Вот и доходы ваши уже 60-70 тысяч.
",0.0
"Часто бываю в магазине художественных всяких товаров, и все краски (и масло и акрил и акварель и гуашь) всех цветов, в тч и красная всегда стоили и стоят практически одинаково, а ультрамарин намного дороже
",0.0
"полёты этой модели запрещены продажи остановлены Найс рынок.
",0.0
"т.е. Если я уезжая в отпуск просто перекрою байпасы и ведь подъезд не будет отапливаться, то так можно? Это же моё.
",0.0
"А кто шарит поч удалили ролик? Мб есть перезалив?
",1.0
"Ну дорога там только на одном фото. В остальном это тротуар типа из бетона, что с ним будет то? А так в той же Болгарии асфальт меняют раз в 10 лет если меняют. Вообщем не показатель.
",0.0
"По Nat geo видел как они разделываются с выброшенной на берег медузой, одна внутрь залезла.. Жуть конечно...
",0.0
"Есть вероятность, что при новом снимут санкции.",0.0
"Может центр планирования семьи ??
",0.0
"Думаешь, его бы тогда не сдали во время январских выступлений? То количество людей, которое выходило - крайне велико, но есть сомнения по поводу того, что все они были против него, тем более, на следующие несколько дней вообще тишина в эфире была (во всех западных сми). А потом просто назначили нового президента, странно всё это)
",0.0
"Я не курю, как мне бросить курить и сэкономить миллионы??? Бросил есть черную игру каждый день, сэкономил миллионы... Решил не покупать каждый месяц по новой машине, сэкономил миллиарды... и т.д.
",0.0
"Рак ебучий, как же ты заебал, сука. СДОХНИ БЛЯДЬ И ПЕРЕСТАНЬ ТАСКАТЬ НА ФИГУРЧ ЗАЛЕТУХ!!1
",1.0
"Суя по всему они удаляют её из жизни
",1.0
"Если сравнивать Камень и Доминион, что бы посоветовали?
",0.0
"Нее, там по затратам энергоносителей провал сильный, совсем не интересный вариант.
",0.0
"А в рашке традиция: или вперёд ногами из Кремля или переворот и на подсрачниках. Так что думайте.
",1.0
"Была похожая ситуация с аэрофлотом , но со счастливым концом. Купил билет на рейс Сургут-Москва с вылетом в 7-00 утра. На рейс НЕ регистрировался заранее. Так как сам я из Когалыма (это 185 км от сургута), то получилось так что к концу регистрации опоздал ровно на две минуты ( был на стойке регистрации в 6-22). Спросив что делать, меня отправили в кассу для регистрации как опоздавшего пассажира, и я , оплатив данную услугу стоимостью 1500 рублей пришёл обратно к стойке регистрации. Далее ситуация развивалось аналогично той что описана в посте, с небольшими ньюансами. Сотрудник за стойкой наотрез отказался меня регистрировать на рейс и пропускать в самолёт. Но ведь и мы не лыком шиты, закон о правах потребителей немного знаем, и Пикабу читаем регулярно. Итак, достав из кармана чек о уплаченной услуге в полторы тысячи рублей я попросил пригласить старшего смены и в красках ( размахивая чеком )ему объяснил, что в том случае если меня не посадят на самолёт, оставлю запись в книге жалоб и предложений аэропорта, попутно направлю жалобу в отдел по защите прав потребителей г. Сургута, и жалобу на офф. Сайте аэрофлота. А все потому что продали услугу, а в последствии не хотели её оказывать. В общем и целом посадили в 6-50 за десять минут до вылета. И да... в неофициальной беседе с сотрудником аэропорта, большинство авиакомпаний относятся к этому более или менее лояльно... но только не аэрофлот. У этих все строго.
",0.0
"Почему не пытались назначить ещё одну экспертизу?
",0.0
"КОНЧ, долбаёб. Их словечко. Соси хуй, я ебал твою мать.
",1.0
"и причем здесь чувство юмора? сам придумал - сам опроверг? я писал что они считают себя веселой нацией
",1.0
"Ты сначала свой колбасопарашный загон выпизди, скотоублюдина.
",1.0
"Бедная собака. С квадратиками на морде тяжело жить.
",1.0
"Возвраты не всем и не всегда делают, если человек абузит возвратами ему откажут.
",0.0
"Вот вам и безвиз. Какие же хохлы дегенераты, пиздец просто
",1.0
"Этих мудаков судя по комментариям и тут хватает.
",1.0
Пока гром не грянет мужик не перекрестится.,0.0
"Ну он первый президент тащемто, почему пиндосам можно, а казахам нельзя?
",1.0
"Коммунисты предлагают отъём средств производства у капиталиста. Средства производства это заводы, здания, станки, сырьевые источники и т.д. в управление государством. Сложно сказать, как лучше.
",0.0
"До поломки можно просто понизить яркость или автояркость поставить
",0.0
"Это беседа одного того самого имбецила?
",1.0
"ну, один из 5 взял карту и воспользовался - уже профит, девочке з п все равно платить, карты по итогу ничего не стоят, так что, всё очень обоснованно
",0.0
"Тогда нужно должность сократить, а потом полгода на неё никого нельзя брать
",0.0
"Я думаю что верующие мирянки не должны получать эту услугу бесплатно, только за свой счёт!А за ответом на вопрос почему отправлять к этому архиепископу
",0.0
"не играл в мгс, так что кефир, лично для меня - Джек Бауэр. навсегда
",0.0
"Штурмовик из ЗВ, меха из Titanfall, дракон из Dragon Age и кто-то еще из убитых серий игр.
",0.0
"дебил блдядь тоже дебил блядь 1 ступень ракеты это вывод в стратосферу на орбиту Земли, то есть актуальна в пределах атмосферы, а это даже не 100 км, а 20-50 км, так как баллистическая ракета стартует не по ологой траектории, а в зенит задача 1 ступени не паровоз по рельсам гнать до Читы, а оторвать ракету вместе со 2 ступенью от земного притяжения на высоту 80-100 км
",1.0
"В крайнем правом ряду, второй снизу - это Рекорд-6. У нас был такой, когда я был маленьким. Безумно хочу его сейчас купить...
",0.0
"Для портретов реально нужен зум. Через него (полтинник на кропе) привычный взгляд. Вот как глазами смотришь, только вырезанный квадратик небольшой этого изображения. Эффектно размывается боке. В тесной комнате от него толку немного, однако если пространство позволяет отойти - шикарное стекло. Зум уже придумали в смартфонах. Осталось победить размер матрицы. Хотя бы дюймовую.
",0.0
"Когда очередные санкции к России применят, за вмешательство в выборы?
",0.0
"Я не желаю здравия криворуким, что не могут тег 23 февраля поставить. Заебали уже, поздравлялы херовы
",1.0
